ModelFile;PositionX;PositionY;PositionZ;RotationW;RotationX;RotationY;RotationZ;ScaleFactor;DoodadSet;FileDataID
..\..\..\kalimdor\blackfathom\passivedoodads\lights\bfd_walllight03.obj;-502.9226379394531;-1035.0770263671875;349.69189453125;0.9999997615814209;0;0;-0.0006475448026321828;5.780933380126953;Set_$DefaultGlobal;201430
..\..\..\expansion01\doodads\generic\bloodelf\sconce\be_sconce01.obj;-502.90570068359375;-1033.5306396484375;359.4617614746094;0.7004156112670898;0;0;-0.7137352228164673;3.0704498291015625;Set_$DefaultGlobal;192175
..\..\..\expansion01\doodads\generic\bloodelf\planters\be_planter_short_02.obj;-485.0537109375;-1076.3172607421875;343.8558044433594;0.8987940549850464;0;0;0.43837112188339233;1.5998499393463135;Set_$DefaultGlobal;192128
..\..\..\expansion01\doodads\generic\bloodelf\planters\be_planter_short_01.obj;-523.0625;-1076.0111083984375;344.5559387207031;0.6946583986282349;0;0;0.7193397879600525;1.599850058555603;Set_$DefaultGlobal;192127
..\..\..\expansion01\doodads\generic\bloodelf\planters\be_planter_medium_03.obj;-530.5352783203125;-1041.3331298828125;344.5378112792969;0.7372772693634033;0;0;-0.6755902767181396;1;Set_$DefaultGlobal;192126
..\..\..\expansion01\doodads\generic\bloodelf\jars\be_jar_04.obj;-488.07366943359375;-1055.57275390625;344.60638427734375;0.6494479775428772;0;0;-0.7604060173034668;1;Set_$DefaultGlobal;192083
..\..\..\expansion01\doodads\generic\bloodelf\jars\be_jar_03.obj;-496.9176330566406;-1042.7750244140625;344.79779052734375;-0.008726561442017555;0;0;-0.9999619126319885;1;Set_$DefaultGlobal;192082
..\..\..\expansion01\doodads\generic\bloodelf\incense\be_incense_01.obj;-494.5670471191406;-1073.7281494140625;356.7726135253906;0.8616291284561157;0;0;-0.5075384974479675;2.567349910736084;Set_$DefaultGlobal;192076
..\..\..\expansion01\doodads\generic\bloodelf\hookah\be_hookah_02.obj;-485.9577941894531;-1031.49462890625;344.4407043457031;0.6087614297866821;0;0;0.7933533191680908;1;Set_$DefaultGlobal;192074
..\..\..\expansion01\doodads\generic\bloodelf\hookah\be_hookah_01.obj;-519.909423828125;-1031.279541015625;344.4691467285156;0.7372773289680481;0;0;0.6755902171134949;1;Set_$DefaultGlobal;192073
..\..\..\expansion01\doodads\generic\bloodelf\cups\be_cup01.obj;-500.3048095703125;-1041.5150146484375;344.8215637207031;0.9848077297210693;0;0;0.1736481636762619;1;Set_$DefaultGlobal;192003
..\..\..\expansion01\doodads\generic\bloodelf\cups\be_cup02.obj;-516.1852416992188;-1048.478515625;344.77923583984375;0.9743700623512268;0;0;-0.22495095431804657;1;Set_$DefaultGlobal;192004
..\..\..\expansion01\doodads\generic\bloodelf\couch\be_couch01.obj;-481.36175537109375;-1052.171630859375;344.41162109375;0.09671111404895782;0;0;-0.995312511920929;1;Set_$DefaultGlobal;192001
..\..\..\expansion01\doodads\generic\bloodelf\chairs\be_chair01.obj;-488.2442626953125;-1030.33642578125;344.4981384277344;0.6452862620353699;0;0;-0.7639408111572266;1;Set_$DefaultGlobal;191981
..\..\..\expansion01\doodads\generic\bloodelf\chairs\be_chair01.obj;-484.6856689453125;-1032.9234619140625;344.4329833984375;-0.15643449127674103;0;0;-0.9876883029937744;0.9999999403953552;Set_$DefaultGlobal;191981
..\..\..\expansion01\doodads\generic\bloodelf\bottles\be_bottle04.obj;-500.9479064941406;-1041.3018798828125;344.8048400878906;0.3746066391468048;0;0;-0.9271838068962097;1;Set_$DefaultGlobal;191966
..\..\..\expansion01\doodads\generic\bloodelf\bottles\be_bottle03.obj;-487.77777099609375;-1059.2020263671875;344.5832214355469;0.9636304378509521;0;0;-0.26723846793174744;1.0000001192092896;Set_$DefaultGlobal;191965
..\..\..\expansion01\doodads\generic\bloodelf\bottles\be_bottle02.obj;-488.0608825683594;-1051.54296875;344.6290588378906;7.549790126404332e-8;0;0;-1;1;Set_$DefaultGlobal;191964
..\..\..\expansion01\doodads\generic\bloodelf\bottles\be_bottle01.obj;-487.83245849609375;-1059.9351806640625;344.5808410644531;0.7009092569351196;0;0;-0.713250458240509;1;Set_$DefaultGlobal;191963
..\..\..\expansion01\doodads\generic\bloodelf\benches\be_bench01.obj;-523.4343872070312;-1032.498046875;344.46234130859375;0.9275001287460327;0;0;-0.37382277846336365;1;Set_$DefaultGlobal;191936
..\..\..\expansion01\doodads\generic\bloodelf\incense\be_incense_01.obj;-508.2013854980469;-1073.7279052734375;356.7726135253906;0.8616291284561157;0;0;-0.5075384974479675;2.567349910736084;Set_$DefaultGlobal;192076
..\..\..\generic\bloodelf\passivedoodads\be_lantern_blue_001.obj;-526.7918090820312;-1029.437255859375;342.6261901855469;0.43837103247642517;0;0;-0.8987941145896912;1.8901000022888184;Set_$DefaultGlobal;197083
..\..\..\generic\bloodelf\passivedoodads\be_lantern_blue_001.obj;-481.5213928222656;-1029.437255859375;342.6261901855469;0.43837103247642517;0;0;-0.8987941145896912;1.8901000022888184;Set_$DefaultGlobal;197083
..\..\..\expansion01\doodads\generic\bloodelf\chairs\be_chair01.obj;-481.5890808105469;-1058.0035400390625;344.3073425292969;-0.15643449127674103;0;0;-0.9876883029937744;0.9999999403953552;Set_$DefaultGlobal;191981
..\..\..\expansion01\doodads\generic\bloodelf\benches\be_bench01.obj;-514.2047729492188;-1032.11376953125;344.4938049316406;0.4465287923812866;0;0;-0.8947692513465881;0.9999999403953552;Set_$DefaultGlobal;191936
..\..\..\expansion01\doodads\zangar\lilypads\zangarlilypad02.obj;-505.9471740722656;-1058.9302978515625;344.3172302246094;0.9271838665008545;0;0;-0.37460657954216003;0.9999999403953552;Set_$DefaultGlobal;193886
..\..\..\expansion01\doodads\zangar\lilypads\zangarlilypad02.obj;-505.35882568359375;-1047.8074951171875;344.3172302246094;0.9271838665008545;0;0;-0.37460657954216003;0.9999999403953552;Set_$DefaultGlobal;193886
..\..\..\expansion01\doodads\zangar\lilypads\zangarlilypad03.obj;-499.2351379394531;-1052.955078125;344.3172302246094;0.7431448101997375;0;0;0.6691306233406067;1;Set_$DefaultGlobal;193887
..\..\..\expansion01\doodads\zangar\lilypads\zangarlilypad03.obj;-500.4441223144531;-1061.68212890625;344.3172302246094;-0.06975651532411575;0;0;-0.9975640177726746;1;Set_$DefaultGlobal;193887
..\..\..\expansion01\doodads\zangar\lilypads\zangarlilypad03.obj;-510.9820861816406;-1054.5067138671875;344.3172302246094;0.9588197469711304;0;0;-0.28401538729667664;1;Set_$DefaultGlobal;193887
